state,basin,well_name_anp,well_name_operator,field,operator,contract_number,period,oil,condensate,petroleum,gas_associate,gas_non_associate,total_gas,volume_gas_royalties,water,installation_destination,installation_type,production_time
Rio de Janeiro,Campos,7BR69DARJS          ,7BR69DARJS          ,BARRACUDA,Petrobras,4.8E+14,2016/04,402.8069,0,402.8069,6.9489,0,6.9489,207.81391,216.8956,PETROBRAS 43,UEP,42
Rio de Janeiro,Santos,7LL48DRJS           ,7LL48DRJS           ,LULA,Petrobras,4.861E+14,2016/04,9363.8546,0,9363.8546,362.2956,0,362.2956,3068.06165,0,FPSO CIDADE DE MARICÁ,UEP,170
Rio de Janeiro,Santos,7URG17DARJS         ,7URG17DARJS         ,URUGUÁ,Petrobras,4.8E+14,2016/04,0,501.7329,501.7329,0,1159.7535,1159.7535,34787.53535,39.1589,FPSO CIDADE DE SANTOS,UEP,720
Rio de Janeiro,Campos,7PPT18HARJS         ,7PPT18HARJS         ,PAPA-TERRA,Petrobras,4.8E+14,2016/04,2242.5437,0,2242.5437,10.1801,0,10.1801,271.57128,32.3332,PETROBRAS 63,UEP,447
Rio de Janeiro,Campos,7RO156DRJS          ,7RO156DRJS          ,RONCADOR,Petrobras,4.8E+14,2016/04,2156.9373,0,2156.9373,33.896,0,33.896,1016.38557,285.7955,PETROBRAS 62,UEP,703
Rio de Janeiro,Campos,7PRG43HRJS          ,BMC7A10             ,PEREGRINO,Statoil Brasil O&G,4.861E+14,2016/04,1275.7014,0,1275.7014,1.8313,0,1.8313,54.75572,3805.0646,Peregrino A,UEP,177
Espírito Santo,Campos,7JUB58DPAESS        ,7JUB58DPAESS        ,JUBARTE,Petrobras,4.8E+14,2016/04,20660.5146,0,20660.5146,622.044,0,622.044,18653.27949,185.9234,PETROBRAS 58,UEP,718
Rio Grande do Norte,Potiguar,7SER29DRNS          ,7SER29DRNS          ,SERRA,Petrobras,4.8E+14,2016/04,97.6107,0,97.6107,0.2315,0,0.2315,6.9188,842.22,Estação Coletora de Macau,INSTALACAO EMB/DESEMB,720
Rio de Janeiro,Campos,7MLS220HARJS        ,7MLS220HARJS        ,MARLIM SUL,Petrobras,4.8E+14,2016/04,11094.1128,0,11094.1128,139.575,0,139.575,4187.25138,12.2964,PETROBRAS 56,UEP,714
Espírito Santo,Campos,7JUB54HAESS         ,7JUB54AHESS         ,JUBARTE,Petrobras,4.8E+14,2016/04,6850.4212,0,6850.4212,54.0319,0,54.0319,1620.26005,11647.7947,PETROBRAS 57,UEP,720
Espírito Santo,Campos,7JUB53HESS          ,7JUB53HESS          ,JUBARTE,Petrobras,4.8E+14,2016/04,3761.8634,0,3761.8634,37.9364,0,37.9364,1137.60263,15274.3182,PETROBRAS 57,UEP,720
Rio de Janeiro,Campos,7PRG44HRJS          ,BMC7B1              ,PEREGRINO,Statoil Brasil O&G,4.861E+14,2016/04,350.6674,0,350.6674,0.4243,0,0.4243,12.6873,12.9675,Peregrino B,UEP,61
São Paulo,Santos,7MXL18HASPS         ,7MXL18HASPS         ,MEXILHÃO,Petrobras,4.8E+14,2016/04,0,1548.2996,1548.2996,0,1796.4964,1796.4964,53894.8921,193.5892,Plataforma de Mexilhão,UEP,683
Sergipe,Sergipe,7CM  0011D SES      ,7CM  0011D SES      ,CAMORIM,Petrobras,4.8E+14,2016/04,22.9077,0,22.9077,8.4234,0,8.4234,251.22979,0.383,PLATAFORMA PCM-02 DE CAMORIM,UEP,719
Ceará,Ceará,7CR  0006D CES      ,7CR  0006D CES      ,CURIMÃ,Petrobras,4.8E+14,2016/04,47.9508,0,47.9508,2.2242,0,2.2242,66.48861,138.7855,PLATAFORMA DE CURIMÃ 1,UEP,719
Rio Grande do Norte,Potiguar,7AG  0014D RNS      ,7AG  0014D RNS      ,AGULHA,Petrobras,4.8E+14,2016/04,266.6049,0,266.6049,4.4178,0,4.4178,132.53447,560.2239,PLATAFORMA DE AGULHA 1,UEP,720
Ceará,Ceará,7XA  0022D CES      ,7XA  0022D CES      ,XARÉU,Petrobras,4.8E+14,2016/04,40.4605,0,40.4605,0.4401,0,0.4401,13.20437,0.3216,PLATAFORMA DE XAREU 3,UEP,720
Bahia,Recôncavo,7C   0212D BA       ,7C   0212D BA       ,CANDEIAS,Petrobras,4.8E+14,2016/04,4.548,0,4.548,1.0223,0,1.0223,24.39642,0.0101,Estação Pedra Branca,INSTALACAO EMB/DESEMB,711
Ceará,Ceará,7XA  0028D CES      ,7XA  0028D CES      ,XARÉU,Petrobras,4.8E+14,2016/04,200.7521,0,200.7521,0.9524,0,0.9524,28.57051,267.6276,PLATAFORMA DE XAREU 3,UEP,719
Rio de Janeiro,Campos,7FR25HPRJS          ,MUP4                ,FRADE,Chevron Frade,4.8E+14,2016/04,4899.4978,0,4899.4978,57.513,0,57.513,1722.18916,1629.1803,FPSO FRADE,UEP,660
Espírito Santo,Campos,7JUB51HESS          ,7JUB51HESS          ,JUBARTE,Petrobras,4.8E+14,2016/04,5979.4477,0,5979.4477,37.9944,0,37.9944,1139.3418,7218.6128,PETROBRAS 57,UEP,720
Rio de Janeiro,Campos,7CRP 0012D RJS      ,7CRP 0012D RJS      ,CARAPEBA,Petrobras,4.8E+14,2016/04,425.0215,0,425.0215,1.6814,0,1.6814,49.33439,2064.9553,PLATAFORMA DE CARAPEBA-I,UEP,720
Rio de Janeiro,Campos,7PG  0010D RJS      ,7PG  0010D RJS      ,PARGO,Petrobras,4.8E+14,2016/04,100.3042,0,100.3042,0.5127,0,0.5127,15.04239,832.8711,PLATAFORMA DE PARGO-1A,UEP,720
Rio de Janeiro,Campos,7GP  0013D RJS      ,7GP  0013D RJS      ,GAROUPA,Petrobras,4.8E+14,2016/04,292.8649,0,292.8649,3.2967,0,3.2967,96.01111,42.239,PLATAFORMA DE GAROUPA,UEP,718
Rio de Janeiro,Campos,7RO158HPRJS         ,7RO158HPRJS         ,RONCADOR,Petrobras,4.8E+14,2016/04,14702.5768,0,14702.5768,267.7237,0,267.7237,8027.80966,0,PETROBRAS 55,UEP,719
Rio Grande do Norte,Potiguar,7SER28DRNS          ,7SER28DRNS          ,SERRA,Petrobras,4.8E+14,2016/04,104.884,0,104.884,0.1236,0,0.1236,3.69427,409.9512,Estação Coletora de Macau,INSTALACAO EMB/DESEMB,720
Rio Grande do Norte,Potiguar,7UB  0076D RNS      ,7UB  0076D RNS      ,UBARANA,Petrobras,4.8E+14,2016/04,55.6889,0,55.6889,21.9107,0,21.9107,657.31963,0.2155,PLATAFORMA DE UBARANA 7,UEP,710
Rio de Janeiro,Campos,7MRL 0014  RJS      ,7MRL 0014  RJS      ,MARLIM,Petrobras,4.8E+14,2016/04,0.3409,0,0.3409,0.0041,0,0.0041,0.12311,0.0411,PETROBRAS 18,UEP,1
Rio de Janeiro,Campos,7AB  0021D RJS      ,7AB  0021D RJS      ,ALBACORA,Petrobras,4.8E+14,2016/04,3755.0396,0,3755.0396,134.438,0,134.438,4029.99963,3153.7193,PETROBRAS 25,UEP,702
Rio de Janeiro,Campos,8MLL48HPBRJS        ,8MLL48HPBRJS        ,MARLIM LESTE,Petrobras,4.8E+14,2016/04,2414.2997,0,2414.2997,15.1566,0,15.1566,175.48273,4295.874,PETROBRAS 53,UEP,720
Rio de Janeiro,Campos,7PRG25HRJS          ,BM-C-7-A-24         ,PEREGRINO,Statoil Brasil O&G,4.861E+14,2016/04,1269.6212,0,1269.6212,1.9767,0,1.9767,59.10109,1511.2862,Peregrino A,UEP,181
Rio de Janeiro,Campos,7RO131HPRJS         ,7RO131HPRJS         ,RONCADOR,Petrobras,4.8E+14,2016/04,6372.6107,0,6372.6107,107.3632,0,107.3632,3219.33189,0,PETROBRAS 55,UEP,706
Rio de Janeiro,Campos,7MRL218HPRJS        ,7MRL218HPRJS        ,MARLIM,Petrobras,4.8E+14,2016/04,8569.7072,0,8569.7072,105.6924,0,105.6924,3161.64405,16.4573,PETROBRAS 19,UEP,652
Rio de Janeiro,Campos,7BJ7HPARJS          ,7BJUX               ,BIJUPIRÁ,Shell Brasil,4.8E+14,2016/04,0,0,0,0,0,0,0,0,FPSO Fluminense,UEP,0
Rio de Janeiro,Campos,7VM  0039D RJS      ,7VM  0039D RJS      ,VERMELHO,Petrobras,4.8E+14,2016/04,369.8712,0,369.8712,1.3051,0,1.3051,38.4083,1719.586,PLATAFORMA DE VERMELHO-III,UEP,720
Rio de Janeiro,Campos,7VM  0019D RJS      ,7VM  0019D RJS      ,VERMELHO,Petrobras,4.8E+14,2016/04,129.8517,0,129.8517,0.4562,0,0.4562,13.42666,1359.9555,PLATAFORMA DE VERMELHO-III,UEP,720
Rio de Janeiro,Campos,7MRL 0058D RJS      ,7MRL 0058D RJS      ,MARLIM,Petrobras,4.8E+14,2016/04,795.7492,0,795.7492,3.6244,0,3.6244,108.41983,303.5332,PETROBRAS 26,UEP,306
Rio de Janeiro,Campos,7MA  0017D RJS      ,7MA  0017D RJS      ,MARIMBÁ,Petrobras,4.8E+14,2016/04,2359.6902,0,2359.6902,17.0242,0,17.0242,505.23311,473.6191,PETROBRAS 08,UEP,696
Rio de Janeiro,Campos,7VM  0076HPRJS      ,7VM  0076HPRJS      ,VERMELHO,Petrobras,4.8E+14,2016/04,140.7156,0,140.7156,0.6616,0,0.6616,19.47152,2190.8136,PLATAFORMA DE VERMELHO-II,UEP,694
Rio de Janeiro,Campos,7PG  0012D RJS      ,7PG  0012D RJS      ,PARGO,Petrobras,4.8E+14,2016/04,313.451,0,313.451,1.2321,0,1.2321,36.15058,306.4251,PLATAFORMA DE PARGO-1A,UEP,720
Rio de Janeiro,Campos,7PG  0014D RJS      ,7PG  0014D RJS      ,PARGO,Petrobras,4.8E+14,2016/04,104.9228,0,104.9228,0.8047,0,0.8047,23.61252,1269.6961,PLATAFORMA DE PARGO-1A,UEP,716
Rio de Janeiro,Campos,7VM  0009D RJS      ,7VM  0009D RJS      ,VERMELHO,Petrobras,4.8E+14,2016/04,193.7555,0,193.7555,1.0018,0,1.0018,29.48311,2558.3169,PLATAFORMA DE VERMELHO-II,UEP,720
Rio de Janeiro,Campos,7AB  0012D RJS      ,7AB  0012D RJS      ,ALBACORA,Petrobras,4.8E+14,2016/04,1418.5807,0,1418.5807,16.8788,0,16.8788,505.96869,3243.7005,PETROBRAS 31,UEP,663
Rio de Janeiro,Campos,7MLS 0016HPRJS      ,7MLS 0016HPRJS      ,MARLIM SUL,Petrobras,4.8E+14,2016/04,1779.9049,0,1779.9049,37.0986,0,37.0986,1112.95681,7999.7884,PETROBRAS 40,UEP,676
Rio de Janeiro,Campos,7MRL 0008D RJS      ,7MRL 0008D RJS      ,MARLIM,Petrobras,4.8E+14,2016/04,4678.4066,0,4678.4066,45.8976,0,45.8976,1372.96279,2934.432,PETROBRAS 20,UEP,696
Sergipe,Sergipe,1SES 0114  SE       ,1SES 0114  SE       ,GUARICEMA,Petrobras,4.8E+14,2016/04,11.4068,0,11.4068,5.9229,0,5.9229,0,0.0436,PLATAFORMA PGA-08 DE GUARICEMA,UEP,703
Rio de Janeiro,Campos,7MRL187HPARJS       ,7MRL187HPARJS       ,MARLIM,Petrobras,4.8E+14,2016/04,2475.3296,0,2475.3296,28.6549,0,28.6549,857.17119,3829.7355,PETROBRAS 20,UEP,505
Rio de Janeiro,Campos,7AB64HARJS          ,7AB64HARJS          ,ALBACORA,Petrobras,4.8E+14,2016/04,1359.4724,0,1359.4724,38.2332,0,38.2332,1146.10355,0,PETROBRAS 31,UEP,663
Rio de Janeiro,Campos,7MLS30HPRJS         ,7MLS30HPRJS         ,MARLIM SUL,Petrobras,4.8E+14,2016/04,3827.9165,0,3827.9165,80.7393,0,80.7393,2422.17804,4400.5951,PETROBRAS 40,UEP,720
Rio de Janeiro,Campos,7PG  0011D RJS      ,7PG  0011D RJS      ,PARGO,Petrobras,4.8E+14,2016/04,31.3306,0,31.3306,0.6052,0,0.6052,17.75837,643.2744,PLATAFORMA DE PARGO-1A,UEP,720
Rio de Janeiro,Campos,7CH  0023D RJS      ,7CH  0023D RJS      ,CHERNE,Petrobras,4.8E+14,2016/04,666.1397,0,666.1397,3.43,0,3.43,101.6352,1409.6144,PLATAFORMA DE CHERNE-2,UEP,683
Rio de Janeiro,Campos,7CRP 0040D RJS      ,7CRP 0040D RJS      ,CARAPEBA,Petrobras,4.8E+14,2016/04,110.0595,0,110.0595,0.255,0,0.255,7.48287,2212.0136,PLATAFORMA DE CARAPEBA-II,UEP,720
Ceará,Ceará,7AT  0013D CES      ,7AT  0013D CES      ,ATUM,Petrobras,4.8E+14,2016/04,111.4781,0,111.4781,2.3378,0,2.3378,70.13317,119.2883,PLATAFORMA DE ATUM 3,UEP,720
Ceará,Ceará,7XA  0009  CES      ,7XA  0009  CES      ,XARÉU,Petrobras,4.8E+14,2016/04,69.4141,0,69.4141,0.5378,0,0.5378,16.13365,289.1616,PLATAFORMA DE XAREU 1,UEP,638
Rio de Janeiro,Campos,7MRL 0115H RJS      ,7MRL 0115H RJS      ,MARLIM,Petrobras,4.8E+14,2016/04,85.0147,0,85.0147,0.9296,0,0.9296,27.80635,570.7619,PETROBRAS 26,UEP,48
Rio de Janeiro,Campos,7CRP 0055D RJS      ,7CRP 0055D RJS      ,CARAPEBA,Petrobras,4.8E+14,2016/04,321.9653,0,321.9653,1.4385,0,1.4385,42.20753,2740.1226,PLATAFORMA DE CARAPEBA-I,UEP,720
Rio de Janeiro,Campos,7BR60HPRJS          ,7BR60HPRJS          ,BARRACUDA,Petrobras,4.8E+14,2016/04,1733.2075,0,1733.2075,20.4743,0,20.4743,612.30648,112.5891,PETROBRAS 43,UEP,693
Bahia,Camamu,7MNT4BAS            ,7MNT4BAS            ,MANATI,Petrobras,4.8E+14,2016/04,0,60.664,60.664,0,863.8421,863.8421,25905.96391,10.8638,PLATAFORMA DE MANATI 1,UEP,324
Rio de Janeiro,Campos,7CRP 0011  RJS      ,7CRP 0011  RJS      ,CARAPEBA,Petrobras,4.8E+14,2016/04,175.5316,0,175.5316,0.9268,0,0.9268,27.19284,2449.8992,PLATAFORMA DE CARAPEBA-I,UEP,720
Rio de Janeiro,Campos,7MLH5HPRJS          ,7MLH5HPRJS          ,MALHADO,Petrobras,4.8E+14,2016/04,196.2792,0,196.2792,6.615,0,6.615,197.06371,319.5469,PETROBRAS 09,UEP,669
Rio de Janeiro,Campos,7BR29HPRJS          ,7BR29HPRJS          ,BARRACUDA,Petrobras,4.8E+14,2016/04,742.2309,0,742.2309,7.9621,0,7.9621,238.11622,1629.1124,PETROBRAS 43,UEP,241
Rio de Janeiro,Campos,7VM  0016D RJS      ,7VM  0016D RJS      ,VERMELHO,Petrobras,4.8E+14,2016/04,119.6125,0,119.6125,0.647,0,0.647,19.04215,2208.4944,PLATAFORMA DE VERMELHO-II,UEP,694
Rio de Janeiro,Campos,7NA  0043D RJS      ,7NA  0043D RJS      ,NAMORADO,Petrobras,4.8E+14,2016/04,209.9551,0,209.9551,4.9786,0,4.9786,44.07338,1796.0907,PLATAFORMA DE NAMORADO-2,UEP,696
Rio de Janeiro,Campos,7GP  0022D RJS      ,7GP  0022D RJS      ,GAROUPA,Petrobras,4.8E+14,2016/04,412.5,0,412.5,5.1235,0,5.1235,149.21155,481.1235,PLATAFORMA DE GAROUPA,UEP,676
